geometry,base_name,description
"POLYGON ((-73.896945995321801 40.706797517354303 0,-73.896627781407048 40.706156482565042 0,-73.894383295586124 40.706678764089652 0,-73.894682395194067 40.707382334989447 0,-73.896945995321801 40.706797517354303 0))",FP,
"POLYGON ((-74.002027155148753 40.65275210267739 0,-74.003298889922533 40.651404361045742 0,-74.002051602750029 40.65065155487315 0,-74.000046262433699 40.650511549580052 0,-73.999651306719301 40.651339354404662 0,-74.002027155148753 40.65275210267739 0))",JG,
"POLYGON ((-73.878044468436613 40.838746063973147 0,-73.87832376688813 40.83870449072424 0,-73.878666641140327 40.838268145848957 0,-73.879195981762265 40.837192339611633 0,-73.878303363698777 40.836948041192727 0,-73.877612557879957 40.836807759186676 0,-73.87587434289108 40.837528345639697 0,-73.87578988456049 40.83764026255264 0,-73.878044468436613 40.838746063973147 0))",WF North,
"POLYGON ((-73.879419422039959 40.836930490488633 0,-73.879857715873214 40.836526970015541 0,-73.880084911453395 40.836236891261599 0,-73.87919302588864 40.835781729717567 0,-73.878526806361137 40.83623815884048 0,-73.877993971537805 40.836577166099019 0,-73.878736285344175 40.836734171527937 0,-73.879419422039959 40.836930490488633 0))",WF South,
"POLYGON ((-73.9116089053162 40.869037345365598 0,-73.911027248453493 40.869919164112162 0,-73.911612992263528 40.870980943706947 0,-73.911785587104433 40.871064563166833 0,-73.913768220262654 40.871171119781764 0,-73.914478573121698 40.870173987375452 0,-73.9116089053162 40.869037345365598 0))",KB,
"POLYGON ((-74.127110019500336 40.633652516301652 0,-74.129440423870477 40.633471814511402 0,-74.129805439225876 40.632860161885937 0,-74.130002061141795 40.632432853173853 0,-74.12957274481991 40.632331472445593 0,-74.129156060420925 40.632191497347208 0,-74.12832273844711 40.632266181110651 0,-74.127906561989434 40.631623672112141 0,-74.126909104335411 40.631697662053512 0,-74.126984874254902 40.632953295805969 0,-74.127110019500336 40.633652516301652 0))",CA,
"POLYGON ((-73.927302005973601 40.614528205863166 0,-73.926584598759632 40.614572213731734 0,-73.926904412622108 40.617463853580077 0,-73.927613459003751 40.617395238725258 0,-73.927302005973601 40.614528205863166 0))",FB,
"POLYGON ((-73.937995661577304 40.822165217869937 0,-73.935855612874931 40.821240474326757 0,-73.935462328267718 40.821768883840583 0,-73.937613853991834 40.822669773435322 0,-73.937995661577304 40.822165217869937 0))",OF,
"POLYGON ((-73.904156439209913 40.677059906920803 0,-73.904285495538005 40.676157329689019 0,-73.903591760017093 40.676100817916343 0,-73.903497576120728 40.677029844168381 0,-73.904156439209913 40.677059906920803 0))",EN_Lot_1,
"POLYGON ((-73.900259038639405 40.677220527623433 0,-73.899895129765213 40.677189077532468 0,-73.898937401016823 40.677602917582973 0,-73.89895956350712 40.678659613617903 0,-73.900266642979986 40.679283149129823 0,-73.900259038639405 40.677220527623433 0))",EN,
"POLYGON ((-73.920721675283602 40.717166253772071 0,-73.919429555708064 40.717531039486524 0,-73.920075421050555 40.718886966856239 0,-73.920759389359432 40.718700444905117 0,-73.921472391338582 40.718841000261477 0,-73.921547797546509 40.718823088953407 0,-73.921575942573128 40.718779135836762 0,-73.921632909826641 40.718767182842967 0,-73.921633423790809 40.718739691223703 0,-73.921985601334327 40.718645566639459 0,-73.921869925050927 40.718385967706098 0,-73.922093503409357 40.718318304763258 0,-73.922045851987036 40.718188578810917 0,-73.921286400285609 40.71839534346762 0,-73.920721675283602 40.717166253772071 0))",GA,
"POLYGON ((-73.864401360030172 40.660990061436202 0,-73.864978491539617 40.663288775951393 0,-73.866452336620725 40.66307544616091 0,-73.865954588874985 40.661216828411369 0,-73.865707002255846 40.660806474694233 0,-73.864401360030172 40.660990061436202 0))",SC,
"POLYGON ((-73.930905681127655 40.80263063743363 0,-73.930687753564541 40.802928029057959 0,-73.930793998584974 40.803197923355697 0,-73.932408670219971 40.803877777649113 0,-73.932784423669077 40.803395700492963 0,-73.930905681127655 40.80263063743363 0))",OS,
"POLYGON ((-73.933163108171925 40.803575596794772 0,-73.93282838955281 40.80405256558258 0,-73.933550023863333 40.804355197874798 0,-73.933716995235656 40.804123665277281 0,-73.934605515255797 40.804481512860917 0,-73.93477902823345 40.804235202436573 0,-73.933163108171925 40.803575596794772 0))",OS Lot,
"POLYGON ((-73.953746617281823 40.814502564146551 0,-73.954897563549167 40.81498692760124 0,-73.955241068745991 40.814515057494162 0,-73.954089764617549 40.814024297526707 0,-73.953746617281823 40.814502564146551 0))",AM,
"POLYGON ((-73.957962697386094 40.818742390339033 0,-73.958329890663592 40.81823434021797 0,-73.957093195195668 40.81772435955731 0,-73.956720725361961 40.818254031403619 0,-73.957962697386094 40.818742390339033 0))",MV,
"POLYGON ((-73.949222991388652 40.788405307494941 0,-73.95058702740468 40.788976549504753 0,-73.950892438261718 40.788497214519339 0,-73.94959541383939 40.787947094474958 0,-73.94957331752174 40.787935340392579 0,-73.949562260455423 40.78792945875697 0,-73.949222991388652 40.788405307494941 0))",OH,
"POLYGON ((-73.774191601673266 40.660295587203912 0,-73.772841449319031 40.660951119814932 0,-73.772608063128473 40.661054355704877 0,-73.773212890877986 40.661842425720337 0,-73.773440940657636 40.661739684223022 0,-73.773602732447159 40.661956273046279 0,-73.775057866253277 40.661284720184852 0,-73.774191601673266 40.660295587203912 0))",JK,
"POLYGON ((-73.785050504059186 40.688005823395009 0,-73.783934114196683 40.688403099146242 0,-73.783945210998269 40.688461997159934 0,-73.783636646600868 40.688570490835247 0,-73.784150986241826 40.689502152235022 0,-73.785201587296143 40.689074587093373 0,-73.784994550817956 40.688929782702083 0,-73.785414063554072 40.688631056589699 0,-73.785050504059186 40.688005823395009 0))",BP,
"POLYGON ((-73.790132437098094 40.699579964216042 0,-73.790008337772377 40.699617725202998 0,-73.789886668055047 40.699438574001299 0,-73.789877191879782 40.699429180666122 0,-73.789330479609617 40.699794248553452 0,-73.789318612364056 40.699782481428947 0,-73.789316238825606 40.699780128022603 0,-73.789543178505781 40.699995399668438 0,-73.789129947714784 40.700205092918452 0,-73.78953566636342 40.70057789428477 0,-73.790080713840666 40.700303506545062 0,-73.791165795018415 40.701785851160118 0,-73.791300581091662 40.701730116310948 0,-73.791298942214468 40.701723629858577 0,-73.791531797362282 40.701531649168047 0,-73.790132437098094 40.699579964216042 0))",JA,
"POLYGON ((-73.84319601679185 40.75526340152215 0,-73.842863691156893 40.754539239347508 0,-73.845124348786072 40.753856918885567 0,-73.845000325571817 40.753625950794657 0,-73.844088769030733 40.752784818502498 0,-73.84345582266323 40.753290155161423 0,-73.84345254785822 40.753292055109057 0,-73.841759444036612 40.754694669718383 0,-73.841285402290794 40.755852967073061 0,-73.84319601679185 40.75526340152215 0))",CS,
"POLYGON ((-73.837411937838596 40.772913197740962 0,-73.838036707678228 40.774098495488481 0,-73.839630463034837 40.77409521621766 0,-73.839729520165079 40.773750512869938 0,-73.841142810729934 40.773791626228558 0,-73.844423439552941 40.773957689691208 0,-73.844487785533545 40.773107223196462 0,-73.837411937838596 40.772913197740962 0))",CP,
"POLYGON ((-73.779878251362703 40.593390785620691 0,-73.779947195254024 40.593932523075253 0,-73.780656372283843 40.593894694740342 0,-73.780563171800665 40.593328898131332 0,-73.779878251362703 40.593390785620691 0))",FR_Lot,
"POLYGON ((-73.778005379439065 40.59292015406858 0,-73.778081574296735 40.593406024716117 0,-73.780031065251521 40.593158181338843 0,-73.779976786631352 40.592709008199769 0,-73.778005379439065 40.59292015406858 0))",FR,
"POLYGON ((-73.884165300793768 40.765257952256192 0,-73.882519893762606 40.765441406369867 0,-73.882852183064841 40.767165768465517 0,-73.884500557692675 40.766877807371017 0,-73.884165300793768 40.765257952256192 0))",LG,
"POLYGON ((-73.731054411746697 40.716201940010492 0,-73.728890529263381 40.716515766319723 0,-73.728838834607089 40.71699717615828 0,-73.728993635728472 40.717543038872158 0,-73.72930596605265 40.717936564170991 0,-73.729762233907948 40.718245999959933 0,-73.730028200053923 40.718398139577637 0,-73.730533339856819 40.718547213584927 0,-73.730807341266768 40.718593004759647 0,-73.731392115421002 40.718567802882269 0,-73.731634524955325 40.718506842102741 0,-73.731054411746697 40.716201940010492 0))",QV,
